Fund,Fund ID,Fund Description,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,51,Animal Control Claim Fund,Animal Control Claim Fund,Claims,,,Animal Control Adminstrator,"10,000","20,000",,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,210,,345,"1,051",309,240,210,360,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,52,Animal Control Working Fund,Animal Control Working Fund,Salaries & Benefits,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,"30,000","23,682","41,000","48,217","62,174",0,0,,0,0,0,0,0,0,0,0,0,0,"24,409","23,682","40,597","43,653","62,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,52,Animal Control Working Fund,Animal Control Working Fund,Commodities,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,52,Animal Control Working Fund,Animal Control Working Fund,Miscellaneous,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,52,Animal Control Working Fund,Animal Control Working Fund,Expense of Operations,,,Animal Control Adminstrator,"30,000","25,000",,"25,000","12,000","12,000","30,000","20,000","20,000","20,000","30,000","35,800","49,000","50,000","56,318","44,000","571,783","44,826","17,491","21,335",,"11,089","17,253","18,173","21,300","19,259","18,971","19,051","29,956","31,601","34,059","48,712","47,969","43,867","548,145","45,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,52,Animal Control Working Fund,Animal Control Working Fund,Capital Outlay,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,53,Sheriff's LS21 Fund,Sheriff's LS21 Fund,Equipment,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,"71,487","5,901",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,54,County Farm Fund,County Farm Fund,Miscellaneous,,,County Board Office,"1,000","10,000",,"10,000","10,000","10,000","10,000","5,000","5,000",0,0,0,0,"3,000","3,000","13,000","3,000","3,000",0,0,,0,459,0,380,"4,200","3,350","2,500",0,0,0,"2,284",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,,County Board Office,0,0,,0,"50,000","50,000","50,000","50,000","45,000",0,"20,000","20,000","20,000",0,0,0,"20,000","20,000",0,0,,0,0,"10,000",0,0,0,0,0,0,0,0,0,0,0,"5,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,,County Board Office,"10,000","50,000",,"50,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,000",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,"20,000","20,000","20,000",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,56,Revolving Loan Fund II,Revolving Loan Fund II,Miscellaneous,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,"230,000",0,0,"10,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,57,Old Jail Restoration Fund,Old Jail Restoration Fund,Health & Welfare,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,58,State's Attorney - Bad Check Division,State's Attorney - Bad Check Division,Judiciary,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,584","17,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,59,Tort Liability Fund,Tort Liability Fund,Insurance Premium/Bonds,,,Countywide Expense,"150,000","265,000",,"350,000","300,000","450,000","400,000","330,000","250,000","325,000","350,000","350,000","417,000","420,000","440,000","413,500","413,500","432,000","151,950","201,848",,"161,544","203,325","252,998","489,108","328,030","252,229","357,440","341,340","350,000","417,000","420,000","423,830","344,874","375,523","407,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,59,Tort Liability Fund,Tort Liability Fund,Miscellaneous,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,59,Tort Liability Fund,Tort Liability Fund,Animal Control - Miscellaneous,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"6,500","6,500",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"6,389",196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,66,GIS Fund,GIS Fund,Salaries & Benefits,,,Supervisor of Assessments,0,0,,0,0,0,0,0,0,0,0,0,0,0,"40,364","34,526","93,739","88,560",0,0,,0,0,0,0,0,0,0,0,0,0,0,"20,724","33,934","57,930","67,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,66,GIS Fund,GIS Fund,Purchase of Equipment,,,Supervisor of Assessments,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,66,GIS Fund,GIS Fund,Miscellaneous,,,Supervisor of Assessments,0,0,,0,0,0,0,0,0,0,0,0,0,"150,000","134,636","131,843","127,268","141,000",0,0,,0,0,0,0,0,0,0,0,0,0,"74,136","91,122","119,399","62,095","84,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,67,Mental Deficiency Fund,Mental Deficiency Fund,Cash Disbursements to Schools,,,County Board Office,"62,250","68,000",,"73,000","83,000","83,000","83,000","88,000","103,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","37,000","97,000",,"67,000","82,000","87,000","87,014","87,000","122,000","34,500","51,999","52,000","52,000","52,000","52,000","52,000","52,000","52,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,67,Mental Deficiency Fund,Mental Deficiency Fund,Macoupin County Association of Retarded Children,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,67,Mental Deficiency Fund,Mental Deficiency Fund,Illinois Valley Development Corporation,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,69,Sheriff's Equipment Grant,Sheriff's Equipment Grant,Equipment,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,"17,030",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,70,Rural Water Grant,Rural Water Grant,Capital Outlay,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"362,200","37,900",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,72,Solid Waste Management Fund,Solid Waste Management Fund,Miscellaneous,,,County Board Office,0,0,,0,0,"12,100",0,0,0,0,0,915,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,73,Vital Records Automation,Vital Records Automation,Miscellaneous,,,County Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,"1,300","13,000","3,000","3,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,"1,290","4,073","2,165","2,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,74,County Tax Sale Fund,County Tax Sale Fund,General Government,,,County Tax Expenses,"1,000","22,000",,"22,000","50,000","50,000",0,"50,000","50,000",0,0,0,"40,000",0,0,0,0,0,0,0,,0,"1,759",0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,75,States Attorney - DUI Task Force ,States Attorney - DUI Task Force ,Miscellaneous,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,76,Delinquent Real Estate Taxes Liquidation Fund,Delinquent Real Estate Taxes Liquidation Fund,Miscellaneous,,,County Tax Expenses,0,0,,"2,000","2,000","5,000","2,000","2,000","2,000","2,000","144,000","4,000","4,000","4,000","20,000","4,000","4,000","4,000",0,0,,241,"4,433","1,094","1,226","1,748","186,617","3,534","143,634","2,774","2,028","2,613","4,411","1,426","3,570","2,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Salaries,,,County Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,"27,000",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,"10,827","14,321",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Commodities,,,County Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Supplies,,,County Clerk,"150,000","175,000",,"175,000","175,000","175,000","175,000","90,000","96,000","125,000","121,000","300,000","215,000","150,000","13,000","55,000","237,606",3,"66,951","75,115",,"111,864","175,000","73,079","208,084","103,057","93,674","106,752","120,049","189,109","177,318","14,863","9,199","29,010","59,999",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,78,Sheriff's Drug Fund,Sheriff's Drug Fund,Miscellaneous,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,"3,000","3,000","3,000","3,000","3,000","3,000","3,000",0,0,,0,0,"1,340",492,"1,665",0,"4,063",289,"1,225","1,525",0,700,700,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,79,Document Storage Fund,Document Storage Fund,Salaries,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,"32,959",300,300,300,0,0,,0,0,0,0,0,0,0,0,0,0,0,"32,959",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,79,Document Storage Fund,Document Storage Fund,Supplies,,,Circuit Clerk,"31,500","18,921",,"13,250","5,000","5,000","5,000","5,000","5,000","11,500","5,000","5,000","5,000","4,531","2,369","3,400","1,604","3,400","34,595","4,795",,139,593,"2,864",787,"1,416",661,"1,229","4,927","2,897","2,442","3,072",832,"3,362","1,604","2,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,79,Document Storage Fund,Document Storage Fund,Travel,,,Circuit Clerk,0,0,,0,"1,500","1,500","1,500","1,500","1,500",0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,79,Document Storage Fund,Document Storage Fund,Equipment,,,Circuit Clerk,0,0,,"13,250","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","13,656","4,681","1,000","3,142","1,000",0,0,,180,0,0,"26,085","1,060","2,378","2,064","12,157","11,433","1,744","9,656","4,630",0,"3,142",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,79,Document Storage Fund,Document Storage Fund,"Mileage, Dues, & Conventions",,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,"1,500","1,500",0,300,500,100,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,79,Document Storage Fund,Document Storage Fund,Education/Training,,,Circuit Clerk,0,"7,579",,0,"3,500","3,500","3,500","3,500","3,500",0,0,"3,500","3,500",0,200,300,100,100,0,"7,579",,0,0,477,364,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,79,Document Storage Fund,Document Storage Fund,System Updates/Programming,,,Circuit Clerk,0,0,,0,"1,500","1,500","1,500","1,500","1,500",0,0,"1,500","1,500",0,"1,000","1,000",550,896,0,0,,0,0,"1,029",50,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,79,Document Storage Fund,Document Storage Fund,Miscellaneous,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,"8,313","4,991","165,000","90,704","90,704",0,0,,0,0,0,0,0,0,0,0,0,0,"7,191","4,298","1,062",171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,80,Recorder's Microfilm Fund,Recorder's Microfilm Fund,Commodities,,,County Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,80,Recorder's Microfilm Fund,Recorder's Microfilm Fund,Supplies,,,County Clerk,"75,000","125,000",,"125,000","125,000","125,000","125,000","60,000","55,000","71,479","60,000","66,000","15,000","15,000","18,500","15,000","20,000","30,000","18,887","24,639",,"41,207","77,427","53,033","116,023","48,703","53,962","49,243","59,175","65,876","14,977","12,245","18,426","10,077","16,231","20,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,81,Treasurer's Automation Fees Account,Treasurer's Automation Fees Account,Salaries,,,County Treasurer,0,0,,0,0,0,0,0,0,0,0,0,0,0,"10,000","15,000","28,000","23,200",0,0,,0,0,0,0,0,0,0,0,0,0,0,"7,572","15,000","28,000","10,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,81,Treasurer's Automation Fees Account,Treasurer's Automation Fees Account,Miscellaneous,,,County Treasurer,0,0,,0,0,"1,000","2,500","2,500","6,000","5,000","6,000","8,100","20,000","10,000",0,0,0,0,0,0,,0,0,0,451,"5,351","1,802","1,346","5,388","8,065","17,241","8,267",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,82,Law Library Fund,Law Library Fund,Books & Supplies,,,Presiding Circuit Judge,"17,500","16,000",,"17,000","25,818","17,000","20,000","20,000","20,000","20,000","20,000","25,000","27,962","30,000","30,000","30,000","30,000","30,000","14,390","14,768",,"10,115","21,209","14,988","16,239","17,466","19,616","18,165","19,986","24,987","27,668","25,266","29,843","20,738","19,554","19,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,83,Court Security Fund,Court Security Fund,Salaries & Fringe Reimbursement,,,Sheriff,0,0,,0,0,0,"60,000","100,000","125,000",0,"125,000","125,000","125,000","80,000","80,000","80,000","195,366","180,000",0,0,,0,0,"2,172","3,315","2,602","5,446","13,249","2,688","3,284","2,177",220,"8,067","2,542","2,924","5,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,84,Court Automation Fund,Court Automation Fund,Salaries,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"3,420","3,697","4,876",0,0,,0,0,0,0,0,0,0,0,0,0,"1,660",0,"3,418","3,697","4,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,84,Court Automation Fund,Court Automation Fund,Office Supplies,,,Circuit Clerk,0,0,,0,0,"1,500","1,000","1,000","1,000","2,000","1,000","1,000","1,000","1,100","4,668","4,600","10,970","3,298",0,0,,0,0,0,"1,706","1,626",0,0,249,4,25,851,"4,668","4,582","10,970","3,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,84,Court Automation Fund,Court Automation Fund,Miscellaneous,,,Circuit Clerk,0,0,,0,0,"2,000","1,000","1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,84,Court Automation Fund,Court Automation Fund,System Updates & Programming,,,Circuit Clerk,0,0,,0,0,"5,000","5,000","5,000","5,000","5,000","5,000","2,680","5,000",400,"8,776","1,605","4,039","32,376",0,0,,0,0,0,"6,853","4,109","1,140","1,450","2,430",0,208,580,"8,776","1,604","4,039","32,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,84,Court Automation Fund,Court Automation Fund,Equipment Repairs & Maintenance,,,Circuit Clerk,0,0,,0,0,"11,000","16,000","16,000","16,000","16,000","16,000","19,876","16,000","18,864","26,000","18,750","41,822","15,797",0,0,,0,0,"23,814","15,224","13,310","12,391","12,069","9,431","19,876","14,205","19,520","16,046","18,742","41,822","15,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,84,Court Automation Fund,Court Automation Fund,Payment on Computers,,,Circuit Clerk,0,0,,0,0,"15,884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,84,Court Automation Fund,Court Automation Fund,"Books, Transcripts, & Periodicals",,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,473,"3,000","1,168","1,645",0,0,,0,0,0,0,0,0,0,0,0,0,0,473,50,503,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,84,Court Automation Fund,Court Automation Fund,Capital Outlay,,,Circuit Clerk,0,0,,0,0,0,"12,384","12,384","12,384","12,384","13,384","26,444","28,000","39,637","20,083","28,625","18,302","42,008",0,0,,0,0,0,0,"9,507","5,984",0,"5,096","2,263","11,052","13,933","9,149","4,684","18,169","42,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,85,Probation Fees Fund,Probation Fees Fund,Salaries,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,0,0,0,0,0,0,0,"52,771",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,"10,671",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,85,Probation Fees Fund,Probation Fees Fund,Supplies,,,Chief Probation and Court Services Officer,0,0,,0,0,"12,000","10,000","12,000","19,200","10,000","16,000","14,360","12,330","62,144","55,473","17,000","73,963","72,334",0,0,,0,0,"10,918","9,244","6,193","14,231","7,673","12,691","13,062","12,347","12,144","12,881","14,546","7,416","12,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,85,Probation Fees Fund,Probation Fees Fund,Repairs,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,0,0,0,0,"19,800","9,670",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,"6,571",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,85,Probation Fees Fund,Probation Fees Fund,Counseling,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,0,0,0,0,"30,640",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,"30,640",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,85,Probation Fees Fund,Probation Fees Fund,Administration,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,"25,000","27,153","13,553","1,200",0,0,0,0,0,0,0,0,0,,0,0,0,0,"14,968","20,498","4,341",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,85,Probation Fees Fund,Probation Fees Fund,Travel,,,Chief Probation and Court Services Officer,0,0,,0,0,"20,000","5,000","15,000","5,500","4,400","6,000","5,200","5,000","8,000","8,000","4,000","3,037","8,500",0,0,,0,0,"3,692","3,854","1,031","3,102","4,054","4,270","5,143","4,915","5,601","4,584","3,151","3,036","8,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,85,Probation Fees Fund,Probation Fees Fund,Equipment,,,Chief Probation and Court Services Officer,0,0,,0,0,"25,000","42,000","20,000","56,284","71,600","57,000","10,000","15,000","28,000","27,000","13,000","5,000","33,500",0,0,,0,0,"7,715","35,949","11,194","48,988","53,310","49,934","9,456","4,571","16,090","9,414",415,"4,488","2,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,85,Probation Fees Fund,Probation Fees Fund,Miscellaneous,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,0,0,0,0,0,"40,000","33,856","30,856","188,365","24,000","42,666",0,0,,0,0,0,0,0,0,0,0,0,"34,890","19,520","22,135","19,094","19,955","36,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,86,Coroner's Fee,Coroner's Fee,General Government,,,Coroner,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,86,Special Purpose Fund,Special Purpose Fund,Public Safety,,,Coroner,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,109",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,87,Traffic Violation Fee Account,Traffic Violation Fee Account,Commodities,,,Presiding Circuit Judge,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,87,Traffic Violation Fee Account,Traffic Violation Fee Account,Supplies,,,Presiding Circuit Judge,"45,000","45,000",,"20,000","20,000","20,000","20,000","50,000","50,000","50,000","50,000","50,000","93,000","81,055","17,000","1,200",0,0,"30,924","31,424",,"9,053","1,203",414,115,"38,250","2,440","7,849","13,757","25,717","43,536","66,474",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,89,Animal Control Building Fund,Animal Control Building Fund,Public Safety,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,"8,000",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,"9,677",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,90,Circuit Clerk OP Fund,Circuit Clerk OP Fund,Judiciary,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,"1,332",0,280,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,91,Crime Victims Fund,Crime Victims Fund,Miscellaneous,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,65,"2,604",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
