Fund,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,
General Fund,1,33,States Attorney,States Attorney,Witness & Investigation,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,5123,5135,8831,5971,5592,5707,6522,7500,5000,2984,5913,7524,5600,2999,1686,900,403,1500,1500,3000,5123,5095,8831,5971,5592,5707,4559,6184,3685,2984,5882,7524,5598,2912,1685,900,403,1277,131.62,
General Fund,1,33,States Attorney,States Attorney,Telephone,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,5900,6900,5608,5219,6556,6621,6900,6286,5575,4992,5010,6194,5476,6077,5135,4203,4318,6801,2768.91,5000,5874,5316,5608,5219,6215,6621,5842,5330,5106,4992,4988,6193,5476,6052,5133,4203,4318,6801,2599.69,
General Fund,1,33,States Attorney,States Attorney,Machine Rent,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,3805,3959,3522,3690,3860,3663,3985,3760,3760,3341,2754,3125,3528,2334,2930,2316,3150,9328,11560.94,3000,3805,3959,3522,3671,3860,3663,3509,3760,3489,3241,2754,3125,3528,2334,2930,2316,3150,9328,11560.94,
General Fund,1,33,States Attorney,States Attorney,Miscellaneous,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,3042,2000,1624,1477,788,2280,2100,2100,2450,1519,1787,1697,2717,2365,906,2416,369,2716,4515.65,13558.6,3042,1636,1623,1477,788,2280,1443,1914,2450,1519,1786,1697,2717,2365,883,2416,369,2716,4515.65,
General Fund,1,33,States Attorney,States Attorney,Equipment,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,363,375,832,680,500,6409,200,8480,161,897,0,228,4583,336,131,83,2,0,0,0,360,271,832,680,495,6409,200,8480,161,897,0,228,4580,4873,2127,1048,0,0,0,
General Fund,1,33,States Attorney,States Attorney,"Book, Transcript & Periodicals",http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,4660,3750,3700,3201,3334,3239,5400,5626,5626,3973,3254,4977,5843,4873,2127,1048,879,3237,3236.9,3000,4660,2824,3700,3201,3334,3240,5173,5626,3813,3973,3254,4977,5843,336,120,83,879,3237,2808.11,
General Fund,1,33,States Attorney,States Attorney,Education & Training,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2510.12,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,2510.12,
General Fund,1,34,Aid to Dependent Children,Aid to Dependent Children,Miscellaneous,,This line item covered the expenses previously held on the County regarding dependent children.,County Board Office,0,0,1000,1000,1000,1000,1000,1000,955,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,35,Development,Development,Business Park Road Project Expenses,,"In accordance with 55 ILCS 5/6-1002.5, the county may not appropriate an amount exceeding 5% of the amount appropriated to the County’s General Fund for specific capital improvements. The amount appropriated in this fiscal year would primarily relate to renovations to the County Courthouse. Expenses resulting from the North Stair project will be partially reimbursed to the General Fund by the Illinois Landmarks grant and a new project to be expended from this fund contingent upon receiving revenues from coal royalties.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83998,288592,389000,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57038,100844.32,
General Fund,1,36,Soil Conservation,Soil Conservation,County Grant,,This line item covered the yearly contribution to the County Soil and Water Conservation District to help their efforts.,County Board Office,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,5000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,37,West Central Regional Planning Commission,West Central Regional Planning Commission,Yearly Dues,,"The West Central Regional Planning Commission Annual Dues were paid for from this line item. Beginning in 2009, these dues were paid out of the County Adminstration line item.",County Board Office,19100,9600,9600,12000,12000,15000,18000,18000,10000,10000,10000,9536,9536,0,0,0,0,0,0,0,21367,11871,11666,2370,19072,0,19072,9536,9536,9536,9536,0,9536,0,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Salaries & Benefits,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,23500,24700,25660,26740,27940,27945,29628,29950,31139,0,0,0,0,0,0,0,0,0,0,0,21540,24700,25660,26740,26776,27940,29628,29941,31139,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Office Supplies,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,2000,1500,1502,2000,1900,1900,650,592,1000,0,0,0,0,0,0,0,0,0,0,0,657,1022,1502,1003,907,313,599,592,690,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Postage,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,2500,1500,1500,1360,1460,1460,500,500,500,0,0,0,0,0,0,0,0,0,0,0,504,905,342,1146,187,52,166,175,138,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Travel,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,3000,5000,5000,3041,3958,3759,5000,1896,1705,0,0,0,0,0,0,0,0,0,0,0,2638,3340,3985,2876,2981,2351,2931,1397,1680,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Printing,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,2500,1500,1500,734,1400,1400,2309,599,0,0,0,0,0,0,0,0,0,0,0,0,291,928,1094,659,772,27,1375,452,0,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Telephone,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,3000,2750,2750,1650,2500,2500,2500,2220,1902,0,0,0,0,0,0,0,0,0,0,0,1141,808,966,1572,1585,1545,1579,1255,1371,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Office Rent,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,1800,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,2400,1400,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Website Hosting/Maintenance,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,0,0,1500,959,1042,1000,1250,1592,1489,0,0,0,0,0,0,0,0,0,0,0,0,959,1099,959,1042,959,959,1592,1489,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Miscellaneous,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,15054,4600,0,0,0,0,0,5901,3810,0,0,0,0,0,0,0,0,0,0,0,6130,265,0,0,0,0,0,4120,3810,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Grant Administration,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,0,0,21098,10500,12650,2390,8164,4750,8095,0,0,0,0,0,0,0,0,0,0,0,0,0,20180,11292,12079,2391,5667,3359,7309,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Conferences/Training,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,0,0,2000,1166,2000,2000,2000,2000,2300,0,0,0,0,0,0,0,0,0,0,0,0,1562,1150,1166,1260,1361,1323,1799,1648,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,IDNR Com Planning,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,0,0,0,1500,16980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,16980,0,0,0,0,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,County Grant,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,7500,7000,7000,7000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,7000,7000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,38,Development Commission,Development Commission,Equipment,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,5000,3750,3750,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2787,380,691,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Salaries & Benefits,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,47042,48842,51240,54598,59407,61413,66104,67830,65041,67592,67645,63342,67245,64815,78910,74965,73465,74965,68744,70048,45408,48300,52218,54762,59407,61413,65845,65496,65041,67592,67646,63142,67226,64815,78910,74965,73465,74965,68744,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Office Supplies,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,3000,3000,3000,1617,1306,0,2800,2800,416,46,0,256,813,110,0,0,0,0,0,0,2981,2329,2983,1617,880,0,1260,461,415,0,0,256,813,110,0,0,0,0,0,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Postage,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,4000,4000,4000,2928,4000,3902,4000,2407,3450,700,400,500,0,0,0,0,0,0,0,0,4000,3926,3776,2928,2002,3900,1718,2293,2000,700,400,300,0,0,0,0,0,0,0,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Travel,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,3500,3172,2500,2500,3538,3983,4319,5097,6380,2867,3023,1000,705,2119,0,0,0,0,0,0,3472,3122,2513,2646,3538,3901,4318,5097,6380,2867,3024,947,705,2119,0,0,0,0,0,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Printing,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,0,0,2000,0,0,0,1795,1795,704,25,0,0,0,0,0,0,0,0,0,0,0,0,2797,0,0,0,0,1583,704,25,0,0,0,0,0,0,0,0,0,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Publishing,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,1250,1250,0,1268,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,1250,0,1268,75,0,,,,,,,,,,,,,0,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Telephone,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,7780,8102,7000,11279,8798,6533,6681,4942,5171,4465,6785,1163,2556,2278,0,0,0,0,0,0,6213,8102,8761,11279,8798,6533,4049,4942,5171,4465,3785,1163,2556,2278,0,0,0,0,0,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Equipment Repair,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,1400,1400,2000,625,3110,10000,1000,3848,1300,132,0,0,0,0,0,0,0,0,0,0,1399,1400,1916,625,3110,10000,0,3848,837,132,0,0,0,0,0,0,0,0,0,
General Fund,1,39,Superintendent of Education,Superintendent of Education,Office Rent,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county’s EAV.",Superintendent of Education,15250,15250,17690,17690,18300,18402,18910,19012,19622,19520,20130,21960,19031,17283,0,0,0,0,0,0,15250,15250,17690,17741,18300,18402,18910,19012,19622,19520,20130,20232,19031,17283,0,0,0,0,0,
